ID,PN,AN,RT,ED,EU,AD,SR,EVENT,REDATA1,PH,PL,FK,FB,AP,LC,H4,H3,ZH,HL,LL,ZL,L3,L4,KR,IV,FM,FQ,TV,BV,KZ,DT,DB
,ZHNY_JS_MFXZ_1_02_BUSVOL,,AX,BW1N2逆变器.直流母线电压,V,1.4.3031@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRIVOLA,,AX,BW1N2逆变器.电网侧A相电压,V,1.4.3033@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRIVOLB,,AX,BW1N2逆变器.电网侧B相电压,V,1.4.3034@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRIVOLC,,AX,BW1N2逆变器.电网侧C相电压,V,1.4.3035@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRICURA,,AX,BW1N2逆变器.电网侧A相电流,A,1.4.3036@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRICURB,,AX,BW1N2逆变器.电网侧B相电流,A,1.4.3037@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRICURC,,AX,BW1N2逆变器.电网侧C相电流,A,1.4.3038@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_INNRTEMP,,AX,BW1N2逆变器.内部温度,℃,1.4.3041@E4801228A430#QP8RKJCB,INT16_H,0,,100,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRIFREQ,,AX,BW1N2逆变器.电网频率,Hz,1.4.3042@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_OPRSTATE,,AX,BW1N2逆变器.运行状态,,1.4.3043@E4801228A430#QP8RKJCB,UINT16_H,0,,100,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
,ZHNY_JS_MFXZ_1_02_GRIREAP,,AX,BW1N2逆变器.电网侧无功功率,kVar,1.4.3055@E4801228A430#QP8RKJCB,INT32_H,0,,100,0,0.001,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,100,0,LINEAR,ENG,0.2
